Country,State,AvgTemperature
US,Iowa,49.83605504587141
US,Kentucky,57.10654794027739
Laos,,79.96746168789115
Mongolia,,29.6950787826463
US,Wisconsin,46.77781255621543
Colombia,,55.24395639974073
Guatemala,,56.91135333477217
Tanzania,,65.30484079173841
Burundi,,-65.39713845476541
US,Florida,71.5623432940445
Syria,,62.80611980572022
North Korea,,48.21019857543733
Tajikistan,,35.15456507662436
Haiti,,16.685196374622365
Honduras,,68.53149487317785
Suriname,,47.514911523521796
US,Ohio,51.673124662708844
US,Oklahoma,60.68678359417161
Guinea,,49.389391323116925
Senegal,,75.55507230736022
US,Colorado,51.11181867242297
Czech Republic,,47.60325922728247
Portugal,,61.857770343189905
United Arab Emirates,,82.5825652924671
US,Illinois,50.93709390178115
Argentina,,62.304899633067144
Peru,,66.63344696473038
US,New York,50.08692282784672
US,Michigan,46.99999784133847
US,Indiana,52.43157312466279
Australia,,61.634293114612575
Ireland,,49.066781782862144
Ukraine,,47.66315562270662
Jordan,,64.16010144614734
US,Pennsylvania,52.139290652124004
Egypt,,71.95347507014904
Nigeria,,61.991546259613045
US,Alaska,36.03436229537682
US,Arkansas,62.02519158121966
US,Kansas,54.445011692750406
Philippines,,81.54242391538949
Brazil,,70.13152498471065
Panama,,79.57879343837669
US,New Mexico,57.692822450080975
Indonesia,,35.98840798704796
Gabon,,70.3977979274613
US,Arizona,67.58994864823995
US,Maryland,57.39618276668464
Iceland,,41.082764947118285
Yugoslavia,,54.03284049212184
Thailand,,72.46408588158758
Bermuda,,66.97127603710837
South Africa,,61.94041657673188
Ivory Coast,,75.1399525145691
Denmark,,46.960446794733286
Germany,,6.421902994108638
Slovakia,,51.4464601769912
US,West Virginia,52.47642741500284
US,Additional Territories,61.44104906438772
US,Rhode Island,51.491365353480994
US,South Carolina,64.75324338909877
US,Tennessee,60.71087695628687
US,Texas,66.21163663837315
US,Nebraska,50.41387659651007
US,New Jersey,54.85186724230984
US,North Dakota,42.522919589854304
US,Oregon,53.37374797625541
US,Alabama,64.10601996762027
Cyprus,,23.777476999292325
Georgia,,46.51603471904962
Hungary,,51.099061083531026
Poland,,47.77608461040342
Romania,,52.36450464062177
Spain,,59.468317864594766
Lebanon,,69.39838117850216
Turkey,,55.17841031728901
Canada,,42.00524749141365
Vietnam,,74.7373192315993
US,South Dakota,46.5114139233676
Nicaragua,,71.8512817739321
US,Nevada,61.957226119805426
Benin,,76.15212605223395
Morocco,,62.7334556442909
Malawi,,-20.585543650096596
Bulgaria,,45.203345564429064
Croatia,,46.928613059902794
Serbia-Montenegro,,42.396761015465394
US,Hawaii,77.03459255261762
Barbados,,77.00251697494743
Dominican Republic,,65.21575822989762
Tunisia,,66.47864234837016
Kazakhstan,,49.31983810037769
US,Vermont,46.69693470048578
US,Virginia,58.78119445943508
US,California,61.572664867782
Belarus,,41.82123272884281
Finland,,42.24399956831414
France,,54.69657349449583
Italy,,57.21037124973033
Myanmar (Burma),,71.5116770990717
Mexico,,47.61523672460232
Guyana,,-22.101520236920056
US,North Carolina,58.82005126821337
Mozambique,,62.78318631669572
Venezuela,,78.326011872639
US,Connecticut,51.451403130059404
US,Louisiana,67.64851605989293
Macedonia,,54.00780356179161
Qatar,,82.2356248650983
US,Washington,50.4850512682135
Congo,,69.31744198596877
Gambia,,59.66582708528577
Kenya,,23.452060975609776
US,Montana,45.51156364683051
Bahrain,,80.63559248866856
Pakistan,,71.65101457096652
Sri Lanka,,74.24142024606091
US,Wyoming,46.064344306529755
Bahamas,,76.57303831624395
US,New Hampshire,45.93094441446313
Sierra Leone,,-9.820260911579973
Bangladesh,,10.10987951807226
Central African Republic,,67.01951219512179
Madagascar,,63.445898985538584
US,Minnesota,43.42017808958439
US,Mississippi,63.34753912574209
Austria,,51.04722641916694
Belgium,,51.057047269587684
Greece,,59.63387072243328
Norway,,40.9233720447946
US,Georgia,64.26837290879693
Taiwan,,69.33387653788029
Turkmenistan,,62.04968702784363
Belize,,73.4780740580805
Cuba,,72.64080310880819
Japan,,55.853471472768085
Algeria,,63.755439240232846
Ethiopia,,25.45525551371705
US,Massachusetts,51.435855369670755
US,District of Columbia,58.27203453858601
Latvia,,44.13642348370398
Switzerland,,49.82939779840329
Israel,,54.02044817927177
Kuwait,,79.49446363047723
Saudi Arabia,,79.15030218001293
Nepal,,49.4923475445224
Uzbekistan,,58.806345780272224
Zambia,,55.90346164895155
China,,59.98367545166184
Kyrgyzstan,,51.37300000000035
Guinea-Bissau,,2.3921217353767306
Mauritania,,73.41478705686403
Uruguay,,60.9748650982086
Albania,,33.172922512410985
Russia,,44.96580211335265
Sweden,,45.093503129721704
United Kingdom,,51.00676667386165
US,Idaho,49.95453858607627
South Korea,,52.87797323548456
Hong Kong,,75.06277789769051
Namibia,,57.990341031729066
US,Missouri,56.0583989926245
US,Utah,53.48633567188362
US,Delaware,54.50460789427918
US,Maine,43.69242849433375
New Zealand,,58.91374919058918
The Netherlands,,50.818076840060336
Oman,,21.888976113042418
Malaysia,,78.95312972156226
Singapore,,81.65440319447444
Bolivia,,44.86714871573494
Costa Rica,,70.37572846967439
Equador,,59.945608842715615
Togo,,71.56976041441825
Uganda,,44.1425256341069
India,,79.76246121468796
